occupancy,time
56,2015-11-01 00:00:00
56,2015-11-01 01:00:00
56,2015-11-01 02:00:00
48,2015-11-01 03:00:00
80,2015-11-01 04:00:00
274,2015-11-01 05:00:00
937,2015-11-01 06:00:00
1768,2015-11-01 07:00:00
2439,2015-11-01 08:00:00
2614,2015-11-01 09:00:00
2648,2015-11-01 10:00:00
2649,2015-11-01 11:00:00
2557,2015-11-01 12:00:00
2599,2015-11-01 13:00:00
2593,2015-11-01 14:00:00
2503,2015-11-01 15:00:00
72,2015-11-01 16:00:00
67,2015-11-01 17:00:00
68,2015-11-01 18:00:00
276,2015-11-01 19:00:00
154,2015-11-01 20:00:00
119,2015-11-01 21:00:00
119,2015-11-01 22:00:00
78,2015-11-01 23:00:00
78,2015-11-02 00:00:00
78,2015-11-02 01:00:00
78,2015-11-02 02:00:00
50,2015-11-02 03:00:00
68,2015-11-02 04:00:00
177,2015-11-02 05:00:00
523,2015-11-02 06:00:00
1052,2015-11-02 07:00:00
1552,2015-11-02 08:00:00
1741,2015-11-02 09:00:00
1749,2015-11-02 10:00:00
1724,2015-11-02 11:00:00
1578,2015-11-02 12:00:00
1457,2015-11-02 13:00:00
1363,2015-11-02 14:00:00
1206,2015-11-02 15:00:00
74,2015-11-02 16:00:00
66,2015-11-02 17:00:00
54,2015-11-02 18:00:00
141,2015-11-02 19:00:00
101,2015-11-02 20:00:00
96,2015-11-02 21:00:00
68,2015-11-02 22:00:00
54,2015-11-02 23:00:00
54,2015-11-03 00:00:00
54,2015-11-03 01:00:00
54,2015-11-03 02:00:00
47,2015-11-03 03:00:00
47,2015-11-03 04:00:00
50,2015-11-03 05:00:00
50,2015-11-03 06:00:00
57,2015-11-03 07:00:00
67,2015-11-03 08:00:00
73,2015-11-03 09:00:00
80,2015-11-03 10:00:00
80,2015-11-03 11:00:00
80,2015-11-03 12:00:00
78,2015-11-03 13:00:00
80,2015-11-03 14:00:00
87,2015-11-03 15:00:00
2244,2015-11-03 16:00:00
1466,2015-11-03 17:00:00
659,2015-11-03 18:00:00
64,2015-11-03 19:00:00
64,2015-11-03 20:00:00
56,2015-11-03 21:00:00
56,2015-11-03 22:00:00
48,2015-11-03 23:00:00
48,2015-11-04 00:00:00
48,2015-11-04 01:00:00
48,2015-11-04 02:00:00
48,2015-11-04 03:00:00
48,2015-11-04 04:00:00
48,2015-11-04 05:00:00
48,2015-11-04 06:00:00
48,2015-11-04 07:00:00
61,2015-11-04 08:00:00
77,2015-11-04 09:00:00
110,2015-11-04 10:00:00
121,2015-11-04 11:00:00
118,2015-11-04 12:00:00
116,2015-11-04 13:00:00
72,2015-11-04 14:00:00
73,2015-11-04 15:00:00
2201,2015-11-04 16:00:00
1398,2015-11-04 17:00:00
471,2015-11-04 18:00:00
63,2015-11-04 19:00:00
49,2015-11-04 20:00:00
50,2015-11-04 21:00:00
50,2015-11-04 22:00:00
50,2015-11-04 23:00:00
50,2015-11-05 00:00:00
50,2015-11-05 01:00:00
41,2015-11-05 02:00:00
40,2015-11-05 03:00:00
76,2015-11-05 04:00:00
274,2015-11-05 05:00:00
925,2015-11-05 06:00:00
1754,2015-11-05 07:00:00
2389,2015-11-05 08:00:00
2573,2015-11-05 09:00:00
2595,2015-11-05 10:00:00
2585,2015-11-05 11:00:00
2525,2015-11-05 12:00:00
2582,2015-11-05 13:00:00
2579,2015-11-05 14:00:00
2517,2015-11-05 15:00:00
2270,2015-11-05 16:00:00
1450,2015-11-05 17:00:00
594,2015-11-05 18:00:00
265,2015-11-05 19:00:00
143,2015-11-05 20:00:00
143,2015-11-05 21:00:00
80,2015-11-05 22:00:00
80,2015-11-05 23:00:00
45,2015-11-06 00:00:00
45,2015-11-06 01:00:00
45,2015-11-06 02:00:00
35,2015-11-06 03:00:00
67,2015-11-06 04:00:00
273,2015-11-06 05:00:00
971,2015-11-06 06:00:00
1830,2015-11-06 07:00:00
2474,2015-11-06 08:00:00
2642,2015-11-06 09:00:00
2668,2015-11-06 10:00:00
2650,2015-11-06 11:00:00
2568,2015-11-06 12:00:00
2610,2015-11-06 13:00:00
2603,2015-11-06 14:00:00
2536,2015-11-06 15:00:00
2197,2015-11-06 16:00:00
1415,2015-11-06 17:00:00
520,2015-11-06 18:00:00
258,2015-11-06 19:00:00
121,2015-11-06 20:00:00
86,2015-11-06 21:00:00
86,2015-11-06 22:00:00
59,2015-11-06 23:00:00
59,2015-11-07 00:00:00
59,2015-11-07 01:00:00
59,2015-11-07 02:00:00
59,2015-11-07 03:00:00
79,2015-11-07 04:00:00
279,2015-11-07 05:00:00
979,2015-11-07 06:00:00
1809,2015-11-07 07:00:00
2457,2015-11-07 08:00:00
2663,2015-11-07 09:00:00
2691,2015-11-07 10:00:00
2686,2015-11-07 11:00:00
2576,2015-11-07 12:00:00
2629,2015-11-07 13:00:00
2619,2015-11-07 14:00:00
2545,2015-11-07 15:00:00
897,2015-11-07 16:00:00
442,2015-11-07 17:00:00
190,2015-11-07 18:00:00
282,2015-11-07 19:00:00
162,2015-11-07 20:00:00
162,2015-11-07 21:00:00
162,2015-11-07 22:00:00
73,2015-11-07 23:00:00
73,2015-11-08 00:00:00
73,2015-11-08 01:00:00
73,2015-11-08 02:00:00
45,2015-11-08 03:00:00
75,2015-11-08 04:00:00
266,2015-11-08 05:00:00
906,2015-11-08 06:00:00
1743,2015-11-08 07:00:00
2381,2015-11-08 08:00:00
2550,2015-11-08 09:00:00
2568,2015-11-08 10:00:00
2569,2015-11-08 11:00:00
2437,2015-11-08 12:00:00
2460,2015-11-08 13:00:00
2449,2015-11-08 14:00:00
2359,2015-11-08 15:00:00
73,2015-11-08 16:00:00
61,2015-11-08 17:00:00
56,2015-11-08 18:00:00
259,2015-11-08 19:00:00
182,2015-11-08 20:00:00
133,2015-11-08 21:00:00
133,2015-11-08 22:00:00
93,2015-11-08 23:00:00
93,2015-11-09 00:00:00
93,2015-11-09 01:00:00
58,2015-11-09 02:00:00
55,2015-11-09 03:00:00
74,2015-11-09 04:00:00
179,2015-11-09 05:00:00
550,2015-11-09 06:00:00
1042,2015-11-09 07:00:00
1502,2015-11-09 08:00:00
1678,2015-11-09 09:00:00
1689,2015-11-09 10:00:00
1658,2015-11-09 11:00:00
1502,2015-11-09 12:00:00
1430,2015-11-09 13:00:00
1351,2015-11-09 14:00:00
1164,2015-11-09 15:00:00
82,2015-11-09 16:00:00
81,2015-11-09 17:00:00
79,2015-11-09 18:00:00
132,2015-11-09 19:00:00
101,2015-11-09 20:00:00
101,2015-11-09 21:00:00
101,2015-11-09 22:00:00
59,2015-11-09 23:00:00
56,2015-11-10 00:00:00
56,2015-11-10 01:00:00
56,2015-11-10 02:00:00
53,2015-11-10 03:00:00
53,2015-11-10 04:00:00
53,2015-11-10 05:00:00
52,2015-11-10 06:00:00
57,2015-11-10 07:00:00
67,2015-11-10 08:00:00
80,2015-11-10 09:00:00
91,2015-11-10 10:00:00
96,2015-11-10 11:00:00
102,2015-11-10 12:00:00
106,2015-11-10 13:00:00
100,2015-11-10 14:00:00
103,2015-11-10 15:00:00
2242,2015-11-10 16:00:00
1474,2015-11-10 17:00:00
589,2015-11-10 18:00:00
59,2015-11-10 19:00:00
59,2015-11-10 20:00:00
59,2015-11-10 21:00:00
59,2015-11-10 22:00:00
59,2015-11-10 23:00:00
59,2015-11-11 00:00:00
59,2015-11-11 01:00:00
51,2015-11-11 02:00:00
51,2015-11-11 03:00:00
51,2015-11-11 04:00:00
51,2015-11-11 05:00:00
55,2015-11-11 06:00:00
56,2015-11-11 07:00:00
69,2015-11-11 08:00:00
85,2015-11-11 09:00:00
116,2015-11-11 10:00:00
126,2015-11-11 11:00:00
125,2015-11-11 12:00:00
110,2015-11-11 13:00:00
115,2015-11-11 14:00:00
116,2015-11-11 15:00:00
2199,2015-11-11 16:00:00
1420,2015-11-11 17:00:00
426,2015-11-11 18:00:00
84,2015-11-11 19:00:00
72,2015-11-11 20:00:00
72,2015-11-11 21:00:00
54,2015-11-11 22:00:00
54,2015-11-11 23:00:00
54,2015-11-12 00:00:00
54,2015-11-12 01:00:00
54,2015-11-12 02:00:00
44,2015-11-12 03:00:00
74,2015-11-12 04:00:00
261,2015-11-12 05:00:00
891,2015-11-12 06:00:00
1660,2015-11-12 07:00:00
2214,2015-11-12 08:00:00
2358,2015-11-12 09:00:00
2388,2015-11-12 10:00:00
2375,2015-11-12 11:00:00
2309,2015-11-12 12:00:00
2328,2015-11-12 13:00:00
2319,2015-11-12 14:00:00
2255,2015-11-12 15:00:00
2296,2015-11-12 16:00:00
1509,2015-11-12 17:00:00
654,2015-11-12 18:00:00
275,2015-11-12 19:00:00
144,2015-11-12 20:00:00
102,2015-11-12 21:00:00
68,2015-11-12 22:00:00
68,2015-11-12 23:00:00
68,2015-11-13 00:00:00
68,2015-11-13 01:00:00
40,2015-11-13 02:00:00
40,2015-11-13 03:00:00
73,2015-11-13 04:00:00
278,2015-11-13 05:00:00
945,2015-11-13 06:00:00
1781,2015-11-13 07:00:00
2434,2015-11-13 08:00:00
2620,2015-11-13 09:00:00
2641,2015-11-13 10:00:00
2626,2015-11-13 11:00:00
2570,2015-11-13 12:00:00
2637,2015-11-13 13:00:00
2634,2015-11-13 14:00:00
2578,2015-11-13 15:00:00
2150,2015-11-13 16:00:00
1399,2015-11-13 17:00:00
526,2015-11-13 18:00:00
282,2015-11-13 19:00:00
148,2015-11-13 20:00:00
102,2015-11-13 21:00:00
67,2015-11-13 22:00:00
64,2015-11-13 23:00:00
64,2015-11-14 00:00:00
64,2015-11-14 01:00:00
64,2015-11-14 02:00:00
45,2015-11-14 03:00:00
76,2015-11-14 04:00:00
280,2015-11-14 05:00:00
961,2015-11-14 06:00:00
1743,2015-11-14 07:00:00
2389,2015-11-14 08:00:00
2582,2015-11-14 09:00:00
2602,2015-11-14 10:00:00
2589,2015-11-14 11:00:00
2487,2015-11-14 12:00:00
2550,2015-11-14 13:00:00
2547,2015-11-14 14:00:00
2497,2015-11-14 15:00:00
966,2015-11-14 16:00:00
569,2015-11-14 17:00:00
214,2015-11-14 18:00:00
237,2015-11-14 19:00:00
126,2015-11-14 20:00:00
105,2015-11-14 21:00:00
81,2015-11-14 22:00:00
81,2015-11-14 23:00:00
81,2015-11-15 00:00:00
50,2015-11-15 01:00:00
50,2015-11-15 02:00:00
50,2015-11-15 03:00:00
69,2015-11-15 04:00:00
256,2015-11-15 05:00:00
866,2015-11-15 06:00:00
1644,2015-11-15 07:00:00
2273,2015-11-15 08:00:00
2499,2015-11-15 09:00:00
2535,2015-11-15 10:00:00
2528,2015-11-15 11:00:00
2416,2015-11-15 12:00:00
2458,2015-11-15 13:00:00
2450,2015-11-15 14:00:00
2390,2015-11-15 15:00:00
55,2015-11-15 16:00:00
55,2015-11-15 17:00:00
50,2015-11-15 18:00:00
300,2015-11-15 19:00:00
162,2015-11-15 20:00:00
162,2015-11-15 21:00:00
68,2015-11-15 22:00:00
68,2015-11-15 23:00:00
68,2015-11-16 00:00:00
49,2015-11-16 01:00:00
50,2015-11-16 02:00:00
47,2015-11-16 03:00:00
60,2015-11-16 04:00:00
158,2015-11-16 05:00:00
509,2015-11-16 06:00:00
1024,2015-11-16 07:00:00
1545,2015-11-16 08:00:00
1695,2015-11-16 09:00:00
1713,2015-11-16 10:00:00
1681,2015-11-16 11:00:00
1494,2015-11-16 12:00:00
1411,2015-11-16 13:00:00
1349,2015-11-16 14:00:00
1150,2015-11-16 15:00:00
70,2015-11-16 16:00:00
64,2015-11-16 17:00:00
64,2015-11-16 18:00:00
150,2015-11-16 19:00:00
100,2015-11-16 20:00:00
75,2015-11-16 21:00:00
58,2015-11-16 22:00:00
58,2015-11-16 23:00:00
58,2015-11-17 00:00:00
58,2015-11-17 01:00:00
58,2015-11-17 02:00:00
58,2015-11-17 03:00:00
43,2015-11-17 04:00:00
44,2015-11-17 05:00:00
49,2015-11-17 06:00:00
60,2015-11-17 07:00:00
66,2015-11-17 08:00:00
74,2015-11-17 09:00:00
77,2015-11-17 10:00:00
74,2015-11-17 11:00:00
79,2015-11-17 12:00:00
83,2015-11-17 13:00:00
81,2015-11-17 14:00:00
87,2015-11-17 15:00:00
2245,2015-11-17 16:00:00
1485,2015-11-17 17:00:00
510,2015-11-17 18:00:00
65,2015-11-17 19:00:00
62,2015-11-17 20:00:00
56,2015-11-17 21:00:00
57,2015-11-17 22:00:00
57,2015-11-17 23:00:00
57,2015-11-18 00:00:00
57,2015-11-18 01:00:00
57,2015-11-18 02:00:00
57,2015-11-18 03:00:00
57,2015-11-18 04:00:00
51,2015-11-18 05:00:00
52,2015-11-18 06:00:00
52,2015-11-18 07:00:00
66,2015-11-18 08:00:00
74,2015-11-18 09:00:00
101,2015-11-18 10:00:00
110,2015-11-18 11:00:00
108,2015-11-18 12:00:00
107,2015-11-18 13:00:00
