occupancy,time
58,2015-11-01 00:00:00
58,2015-11-01 01:00:00
58,2015-11-01 02:00:00
48,2015-11-01 03:00:00
78,2015-11-01 04:00:00
276,2015-11-01 05:00:00
677,2015-11-01 06:00:00
1085,2015-11-01 07:00:00
2040,2015-11-01 08:00:00
2111,2015-11-01 09:00:00
2132,2015-11-01 10:00:00
2134,2015-11-01 11:00:00
2074,2015-11-01 12:00:00
2077,2015-11-01 13:00:00
2090,2015-11-01 14:00:00
1933,2015-11-01 15:00:00
1440,2015-11-01 16:00:00
849,2015-11-01 17:00:00
545,2015-11-01 18:00:00
260,2015-11-01 19:00:00
129,2015-11-01 20:00:00
112,2015-11-01 21:00:00
100,2015-11-01 22:00:00
67,2015-11-01 23:00:00
75,2015-11-02 00:00:00
75,2015-11-02 01:00:00
73,2015-11-02 02:00:00
49,2015-11-02 03:00:00
63,2015-11-02 04:00:00
213,2015-11-02 05:00:00
464,2015-11-02 06:00:00
1129,2015-11-02 07:00:00
1312,2015-11-02 08:00:00
1370,2015-11-02 09:00:00
1411,2015-11-02 10:00:00
1397,2015-11-02 11:00:00
1292,2015-11-02 12:00:00
1205,2015-11-02 13:00:00
1140,2015-11-02 14:00:00
930,2015-11-02 15:00:00
837,2015-11-02 16:00:00
618,2015-11-02 17:00:00
352,2015-11-02 18:00:00
180,2015-11-02 19:00:00
98,2015-11-02 20:00:00
88,2015-11-02 21:00:00
71,2015-11-02 22:00:00
58,2015-11-02 23:00:00
57,2015-11-03 00:00:00
53,2015-11-03 01:00:00
54,2015-11-03 02:00:00
47,2015-11-03 03:00:00
52,2015-11-03 04:00:00
106,2015-11-03 05:00:00
322,2015-11-03 06:00:00
596,2015-11-03 07:00:00
717,2015-11-03 08:00:00
577,2015-11-03 09:00:00
592,2015-11-03 10:00:00
589,2015-11-03 11:00:00
577,2015-11-03 12:00:00
581,2015-11-03 13:00:00
586,2015-11-03 14:00:00
1058,2015-11-03 15:00:00
1589,2015-11-03 16:00:00
689,2015-11-03 17:00:00
290,2015-11-03 18:00:00
115,2015-11-03 19:00:00
96,2015-11-03 20:00:00
