hour,occupancy,month,year,weekend,day
0,11,1,2014,False,1
1,11,1,2014,False,1
2,12,1,2014,False,1
3,12,1,2014,False,1
4,12,1,2014,False,1
5,11,1,2014,False,1
6,11,1,2014,False,1
7,15,1,2014,False,1
8,16,1,2014,False,1
9,17,1,2014,False,1
10,20,1,2014,False,1
11,21,1,2014,False,1
12,21,1,2014,False,1
13,27,1,2014,False,1
14,28,1,2014,False,1
15,26,1,2014,False,1
16,26,1,2014,False,1
17,24,1,2014,False,1
18,19,1,2014,False,1
19,18,1,2014,False,1
20,18,1,2014,False,1
21,20,1,2014,False,1
22,20,1,2014,False,1
23,15,1,2014,False,1
0,15,1,2014,False,2
1,14,1,2014,False,2
2,13,1,2014,False,2
3,13,1,2014,False,2
4,20,1,2014,False,2
5,98,1,2014,False,2
6,372,1,2014,False,2
7,742,1,2014,False,2
8,1056,1,2014,False,2
9,1185,1,2014,False,2
10,1215,1,2014,False,2
11,1214,1,2014,False,2
12,1173,1,2014,False,2
13,1225,1,2014,False,2
14,1215,1,2014,False,2
15,1157,1,2014,False,2
16,1001,1,2014,False,2
17,668,1,2014,False,2
18,236,1,2014,False,2
19,103,1,2014,False,2
20,56,1,2014,False,2
21,53,1,2014,False,2
22,43,1,2014,False,2
23,43,1,2014,False,2
0,15,1,2014,False,3
1,16,1,2014,False,3
2,16,1,2014,False,3
3,16,1,2014,False,3
4,22,1,2014,False,3
5,72,1,2014,False,3
6,280,1,2014,False,3
7,613,1,2014,False,3
8,978,1,2014,False,3
9,1150,1,2014,False,3
10,1169,1,2014,False,3
11,1163,1,2014,False,3
12,1074,1,2014,False,3
13,1045,1,2014,False,3
14,998,1,2014,False,3
15,881,1,2014,False,3
16,716,1,2014,False,3
17,460,1,2014,False,3
18,117,1,2014,False,3
19,74,1,2014,False,3
20,64,1,2014,False,3
21,61,1,2014,False,3
22,26,1,2014,False,3
23,19,1,2014,False,3
0,20,1,2014,True,4
1,21,1,2014,True,4
2,19,1,2014,True,4
3,19,1,2014,True,4
4,18,1,2014,True,4
5,18,1,2014,True,4
6,23,1,2014,True,4
7,26,1,2014,True,4
8,38,1,2014,True,4
9,52,1,2014,True,4
10,55,1,2014,True,4
11,54,1,2014,True,4
12,53,1,2014,True,4
13,54,1,2014,True,4
14,47,1,2014,True,4
15,45,1,2014,True,4
16,41,1,2014,True,4
17,32,1,2014,True,4
18,27,1,2014,True,4
19,25,1,2014,True,4
20,25,1,2014,True,4
21,25,1,2014,True,4
22,25,1,2014,True,4
23,25,1,2014,True,4
0,25,1,2014,True,5
1,25,1,2014,True,5
2,25,1,2014,True,5
3,25,1,2014,True,5
4,18,1,2014,True,5
5,18,1,2014,True,5
6,24,1,2014,True,5
7,22,1,2014,True,5
8,31,1,2014,True,5
9,49,1,2014,True,5
10,86,1,2014,True,5
11,96,1,2014,True,5
12,92,1,2014,True,5
13,90,1,2014,True,5
14,49,1,2014,True,5
15,50,1,2014,True,5
16,41,1,2014,True,5
17,39,1,2014,True,5
18,34,1,2014,True,5
19,37,1,2014,True,5
20,31,1,2014,True,5
21,29,1,2014,True,5
22,29,1,2014,True,5
23,21,1,2014,True,5
0,20,1,2014,False,6
1,20,1,2014,False,6
2,20,1,2014,False,6
3,20,1,2014,False,6
4,38,1,2014,False,6
5,183,1,2014,False,6
6,745,1,2014,False,6
7,1521,1,2014,False,6
8,2147,1,2014,False,6
9,2294,1,2014,False,6
10,2327,1,2014,False,6
11,2328,1,2014,False,6
12,2259,1,2014,False,6
13,2303,1,2014,False,6
14,2306,1,2014,False,6
15,2254,1,2014,False,6
16,2067,1,2014,False,6
17,1312,1,2014,False,6
18,603,1,2014,False,6
19,219,1,2014,False,6
20,111,1,2014,False,6
21,83,1,2014,False,6
22,61,1,2014,False,6
23,32,1,2014,False,6
0,32,1,2014,False,7
1,32,1,2014,False,7
2,30,1,2014,False,7
3,27,1,2014,False,7
4,54,1,2014,False,7
5,200,1,2014,False,7
6,755,1,2014,False,7
7,1588,1,2014,False,7
8,2228,1,2014,False,7
9,2393,1,2014,False,7
10,2435,1,2014,False,7
11,2439,1,2014,False,7
12,2367,1,2014,False,7
13,2432,1,2014,False,7
14,2431,1,2014,False,7
15,2368,1,2014,False,7
16,2170,1,2014,False,7
17,1460,1,2014,False,7
18,671,1,2014,False,7
19,259,1,2014,False,7
20,104,1,2014,False,7
21,85,1,2014,False,7
22,62,1,2014,False,7
23,62,1,2014,False,7
0,62,1,2014,False,8
1,38,1,2014,False,8
2,39,1,2014,False,8
3,39,1,2014,False,8
4,58,1,2014,False,8
5,216,1,2014,False,8
6,785,1,2014,False,8
7,1587,1,2014,False,8
8,2278,1,2014,False,8
9,2455,1,2014,False,8
10,2489,1,2014,False,8
11,2485,1,2014,False,8
12,2432,1,2014,False,8
13,2482,1,2014,False,8
14,2472,1,2014,False,8
15,2422,1,2014,False,8
16,2205,1,2014,False,8
17,1516,1,2014,False,8
18,674,1,2014,False,8
19,269,1,2014,False,8
20,118,1,2014,False,8
21,100,1,2014,False,8
22,77,1,2014,False,8
23,77,1,2014,False,8
0,77,1,2014,False,9
1,33,1,2014,False,9
2,33,1,2014,False,9
3,29,1,2014,False,9
4,48,1,2014,False,9
5,196,1,2014,False,9
6,759,1,2014,False,9
7,1534,1,2014,False,9
8,2270,1,2014,False,9
9,2512,1,2014,False,9
10,2563,1,2014,False,9
11,2558,1,2014,False,9
12,2441,1,2014,False,9
13,2486,1,2014,False,9
14,2490,1,2014,False,9
15,2427,1,2014,False,9
16,2232,1,2014,False,9
17,1542,1,2014,False,9
18,692,1,2014,False,9
19,273,1,2014,False,9
20,125,1,2014,False,9
21,100,1,2014,False,9
22,76,1,2014,False,9
23,76,1,2014,False,9
0,36,1,2014,False,10
1,36,1,2014,False,10
2,29,1,2014,False,10
3,29,1,2014,False,10
4,38,1,2014,False,10
5,135,1,2014,False,10
6,473,1,2014,False,10
7,1063,1,2014,False,10
8,1655,1,2014,False,10
9,1864,1,2014,False,10
10,1878,1,2014,False,10
11,1874,1,2014,False,10
12,1719,1,2014,False,10
13,1653,1,2014,False,10
14,1609,1,2014,False,10
15,1475,1,2014,False,10
16,1107,1,2014,False,10
17,725,1,2014,False,10
18,321,1,2014,False,10
19,114,1,2014,False,10
20,82,1,2014,False,10
21,65,1,2014,False,10
22,43,1,2014,False,10
23,32,1,2014,False,10
0,29,1,2014,True,11
1,29,1,2014,True,11
2,23,1,2014,True,11
3,23,1,2014,True,11
4,22,1,2014,True,11
5,24,1,2014,True,11
6,28,1,2014,True,11
7,33,1,2014,True,11
8,50,1,2014,True,11
9,69,1,2014,True,11
10,81,1,2014,True,11
11,83,1,2014,True,11
12,82,1,2014,True,11
13,80,1,2014,True,11
14,77,1,2014,True,11
15,67,1,2014,True,11
16,56,1,2014,True,11
17,44,1,2014,True,11
18,34,1,2014,True,11
19,28,1,2014,True,11
20,26,1,2014,True,11
21,21,1,2014,True,11
22,21,1,2014,True,11
23,21,1,2014,True,11
0,21,1,2014,True,12
1,21,1,2014,True,12
2,21,1,2014,True,12
3,21,1,2014,True,12
4,21,1,2014,True,12
5,19,1,2014,True,12
6,21,1,2014,True,12
7,25,1,2014,True,12
8,43,1,2014,True,12
9,66,1,2014,True,12
10,88,1,2014,True,12
11,101,1,2014,True,12
12,108,1,2014,True,12
13,68,1,2014,True,12
14,68,1,2014,True,12
15,63,1,2014,True,12
16,59,1,2014,True,12
17,59,1,2014,True,12
18,46,1,2014,True,12
19,37,1,2014,True,12
20,31,1,2014,True,12
21,28,1,2014,True,12
22,28,1,2014,True,12
23,26,1,2014,True,12
0,22,1,2014,False,13
1,22,1,2014,False,13
2,22,1,2014,False,13
3,19,1,2014,False,13
4,28,1,2014,False,13
5,177,1,2014,False,13
6,622,1,2014,False,13
7,1486,1,2014,False,13
8,2130,1,2014,False,13
9,2343,1,2014,False,13
10,2405,1,2014,False,13
11,2393,1,2014,False,13
12,2340,1,2014,False,13
13,2363,1,2014,False,13
14,2362,1,2014,False,13
15,2305,1,2014,False,13
16,2096,1,2014,False,13
17,1457,1,2014,False,13
18,614,1,2014,False,13
19,220,1,2014,False,13
20,116,1,2014,False,13
21,83,1,2014,False,13
22,65,1,2014,False,13
23,65,1,2014,False,13
0,65,1,2014,False,14
1,35,1,2014,False,14
2,31,1,2014,False,14
3,31,1,2014,False,14
4,54,1,2014,False,14
5,232,1,2014,False,14
6,882,1,2014,False,14
7,1731,1,2014,False,14
8,2402,1,2014,False,14
9,2603,1,2014,False,14
10,2637,1,2014,False,14
11,2613,1,2014,False,14
12,2521,1,2014,False,14
13,2584,1,2014,False,14
14,2585,1,2014,False,14
15,2529,1,2014,False,14
16,2310,1,2014,False,14
17,1557,1,2014,False,14
18,706,1,2014,False,14
19,266,1,2014,False,14
20,140,1,2014,False,14
21,87,1,2014,False,14
22,82,1,2014,False,14
23,82,1,2014,False,14
0,82,1,2014,False,15
1,38,1,2014,False,15
2,38,1,2014,False,15
3,31,1,2014,False,15
4,55,1,2014,False,15
5,244,1,2014,False,15
6,853,1,2014,False,15
7,1669,1,2014,False,15
8,2331,1,2014,False,15
9,2551,1,2014,False,15
10,2575,1,2014,False,15
11,2561,1,2014,False,15
12,2498,1,2014,False,15
13,2545,1,2014,False,15
14,2547,1,2014,False,15
15,2495,1,2014,False,15
16,2266,1,2014,False,15
17,1568,1,2014,False,15
18,709,1,2014,False,15
19,286,1,2014,False,15
20,154,1,2014,False,15
21,112,1,2014,False,15
22,86,1,2014,False,15
23,55,1,2014,False,15
0,54,1,2014,False,16
1,54,1,2014,False,16
2,54,1,2014,False,16
3,39,1,2014,False,16
4,63,1,2014,False,16
5,217,1,2014,False,16
6,797,1,2014,False,16
7,1575,1,2014,False,16
8,2290,1,2014,False,16
9,2461,1,2014,False,16
10,2495,1,2014,False,16
11,2493,1,2014,False,16
12,2388,1,2014,False,16
13,2452,1,2014,False,16
14,2455,1,2014,False,16
15,2399,1,2014,False,16
16,2159,1,2014,False,16
17,1430,1,2014,False,16
18,645,1,2014,False,16
19,245,1,2014,False,16
20,245,1,2014,False,16
21,97,1,2014,False,16
22,73,1,2014,False,16
23,73,1,2014,False,16
0,39,1,2014,False,17
1,39,1,2014,False,17
2,39,1,2014,False,17
3,37,1,2014,False,17
4,58,1,2014,False,17
5,137,1,2014,False,17
6,491,1,2014,False,17
7,1068,1,2014,False,17
8,1638,1,2014,False,17
9,1898,1,2014,False,17
10,1933,1,2014,False,17
11,1927,1,2014,False,17
12,1773,1,2014,False,17
13,1612,1,2014,False,17
14,1522,1,2014,False,17
15,1341,1,2014,False,17
16,1033,1,2014,False,17
17,627,1,2014,False,17
18,314,1,2014,False,17
19,162,1,2014,False,17
20,95,1,2014,False,17
21,62,1,2014,False,17
22,54,1,2014,False,17
23,54,1,2014,False,17
0,54,1,2014,True,18
1,32,1,2014,True,18
2,31,1,2014,True,18
3,31,1,2014,True,18
4,31,1,2014,True,18
5,32,1,2014,True,18
6,35,1,2014,True,18
7,40,1,2014,True,18
8,55,1,2014,True,18
9,73,1,2014,True,18
10,80,1,2014,True,18
11,86,1,2014,True,18
12,89,1,2014,True,18
13,87,1,2014,True,18
14,78,1,2014,True,18
15,67,1,2014,True,18
16,65,1,2014,True,18
17,51,1,2014,True,18
18,50,1,2014,True,18
19,44,1,2014,True,18
20,40,1,2014,True,18
21,40,1,2014,True,18
22,26,1,2014,True,18
23,26,1,2014,True,18
0,25,1,2014,True,19
1,25,1,2014,True,19
2,25,1,2014,True,19
3,25,1,2014,True,19
4,29,1,2014,True,19
5,36,1,2014,True,19
6,36,1,2014,True,19
7,36,1,2014,True,19
8,46,1,2014,True,19
9,58,1,2014,True,19
10,85,1,2014,True,19
